1542051282047,45,1825965,5,2.190,3.431,-0.250,1,4.170,2,3.770,3,3.343,4,3.779,255,0,
1542051282053,6,1825971,5,2.190,3.431,-0.250,1,4.170,2,3.770,3,3.343,4,3.779,255,0,
1542051282056,3,1825974,5,2.190,3.431,-0.250,1,4.170,2,3.770,3,3.343,4,3.779,255,0,
1542051282061,5,1825979,5,2.190,3.431,-0.250,1,4.170,2,3.770,3,3.343,4,3.779,255,0,
1542051282061,0,1825979,5,2.190,3.431,-0.250,1,4.170,2,3.770,3,3.343,4,3.779,255,0,
1542051282079,18,1825997,5,2.190,3.431,-0.250,1,4.170,2,3.770,3,3.343,4,3.779,255,0,
1542051282096,17,1826014,5,2.190,3.431,-0.250,1,4.170,2,3.770,3,3.343,4,3.779,255,0,
1542051282102,6,1826020,5,2.190,3.431,-0.250,1,4.170,2,3.770,3,3.343,4,3.779,255,0,
1542051282106,4,1826024,5,2.190,3.431,-0.250,1,4.170,2,3.770,3,3.343,4,3.779,255,0,
1542051282124,18,1826042,5,2.190,3.431,-0.250,1,4.170,2,3.770,3,3.343,4,3.779,255,0,
1542051282124,0,1826042,5,2.190,3.431,-0.250,1,4.170,2,3.770,3,3.343,4,3.779,255,0,
1542051282141,17,1826059,5,2.190,3.431,-0.250,1,4.215,2,3.834,3,3.343,4,3.779,255,0,
1542051282147,6,1826065,5,2.190,3.431,-0.250,1,4.215,2,3.834,3,3.343,4,3.779,255,0,
1542051282164,17,1826082,5,2.190,3.431,-0.250,1,4.215,2,3.834,3,3.289,4,3.779,255,0,
1542051282168,4,1826086,5,2.190,3.431,-0.250,1,4.215,2,3.834,3,3.289,4,3.779,255,0,
1542051282223,55,1826141,5,2.190,3.431,-0.250,1,4.215,2,3.834,3,3.289,4,3.720,255,0,
1542051282223,0,1826141,5,2.190,3.431,-0.250,1,4.215,2,3.834,3,3.289,4,3.720,255,0,
1542051282270,47,1826188,5,2.180,3.449,-0.148,1,4.215,2,3.834,3,3.289,4,3.720,255,0,
1542051282273,3,1826191,5,2.180,3.449,-0.148,1,4.215,2,3.834,3,3.289,4,3.720,255,0,
1542051282278,5,1826196,5,2.180,3.449,-0.148,1,4.215,2,3.834,3,3.289,4,3.720,255,0,
1542051282296,18,1826214,5,2.180,3.449,-0.148,1,4.215,2,3.834,3,3.289,4,3.720,255,0,
1542051282314,18,1826232,5,2.180,3.449,-0.148,1,4.215,2,3.834,3,3.289,4,3.720,255,0,
1542051282314,0,1826232,5,2.180,3.449,-0.148,1,4.215,2,3.834,3,3.289,4,3.720,255,0,
1542051282319,5,1826237,5,2.180,3.449,-0.148,1,4.215,2,3.834,3,3.289,4,3.720,255,0,
1542051282335,16,1826253,5,2.180,3.449,-0.148,1,4.215,2,3.834,3,3.289,4,3.720,255,0,
1542051282353,18,1826271,5,2.180,3.449,-0.148,1,4.270,2,3.880,3,3.289,4,3.720,255,0,
1542051282358,5,1826276,5,2.180,3.449,-0.148,1,4.270,2,3.880,3,3.289,4,3.720,255,0,
1542051282376,18,1826294,5,2.180,3.449,-0.148,1,4.270,2,3.880,3,3.240,4,3.720,255,0,
1542051282377,1,1826295,5,2.180,3.449,-0.148,1,4.270,2,3.880,3,3.240,4,3.720,255,0,
1542051282380,3,1826298,5,2.180,3.449,-0.148,1,4.270,2,3.880,3,3.240,4,3.720,255,0,
1542051282443,63,1826361,5,2.180,3.449,-0.148,1,4.270,2,3.880,3,3.240,4,3.720,255,0,
1542051282485,42,1826403,5,2.165,3.490,-0.087,1,4.270,2,3.880,3,3.240,4,3.673,255,0,
1542051282490,5,1826408,5,2.165,3.490,-0.087,1,4.270,2,3.880,3,3.240,4,3.673,255,0,
1542051282508,18,1826426,5,2.165,3.490,-0.087,1,4.270,2,3.880,3,3.240,4,3.673,255,0,
1542051282508,0,1826426,5,2.165,3.490,-0.087,1,4.270,2,3.880,3,3.240,4,3.673,255,0,
1542051282512,4,1826430,5,2.165,3.490,-0.087,1,4.270,2,3.880,3,3.240,4,3.673,255,0,
1542051282530,18,1826448,5,2.165,3.490,-0.087,1,4.270,2,3.880,3,3.240,4,3.673,255,0,
1542051282549,19,1826467,5,2.165,3.490,-0.087,1,4.270,2,3.880,3,3.240,4,3.673,255,0,
1542051282554,5,1826472,5,2.165,3.490,-0.087,1,4.270,2,3.880,3,3.240,4,3.673,255,0,
1542051282571,17,1826489,5,2.165,3.490,-0.087,1,4.270,2,3.916,3,3.240,4,3.673,255,0,
1542051282571,0,1826489,5,2.165,3.490,-0.087,1,4.270,2,3.916,3,3.240,4,3.673,255,0,
1542051282588,17,1826506,5,2.165,3.490,-0.087,1,4.307,2,3.916,3,3.240,4,3.673,255,0,
1542051282593,5,1826511,5,2.165,3.490,-0.087,1,4.307,2,3.916,3,3.240,4,3.673,255,0,
1542051282611,18,1826529,5,2.165,3.490,-0.087,1,4.307,2,3.916,3,3.193,4,3.639,255,0,
1542051282653,42,1826571,5,2.165,3.490,-0.087,1,4.307,2,3.916,3,3.193,4,3.639,255,0,
1542051282670,17,1826588,5,2.165,3.490,-0.087,1,4.307,2,3.916,3,3.193,4,3.639,255,0,
1542051282670,0,1826588,5,2.165,3.490,-0.087,1,4.307,2,3.916,3,3.193,4,3.639,255,0,
1542051282702,32,1826620,5,2.146,3.542,-0.109,1,4.307,2,3.916,3,3.193,4,3.639,255,0,
1542051282707,5,1826625,5,2.146,3.542,-0.109,1,4.307,2,3.916,3,3.193,4,3.639,255,0,
1542051282724,17,1826642,5,2.146,3.542,-0.109,1,4.307,2,3.916,3,3.193,4,3.639,255,0,
